"","year","nation","source","total_catch"
"1","1981","US","shoreside",838.47957
"2","1982","US","shoreside",1022.80226
"3","1983","US","shoreside",1050.79616
"4","1984","US","shoreside",2720.67561
"5","1985","US","shoreside",3894.02109
"6","1986","US","shoreside",3431.94361
"7","1987","US","shoreside",4795.3037
"8","1988","US","shoreside",6867.42477
"9","1989","US","shoreside",7413.59444
"10","1990","US","shoreside",9632.37371
"11","1991","US","shoreside",23969.99582
"12","1992","US","shoreside",56127.24911
"13","1993","US","shoreside",42107.86198
"14","1994","US","shoreside",73616.26769
"15","1995","US","shoreside",74961.94926
"16","1996","US","shoreside",85127.75261
"17","1997","US","shoreside",87416.09891
"18","1998","US","shoreside",87856.11345
"19","1999","US","shoreside",83470.29057
"20","2000","US","shoreside",85853.81566
"21","2001","US","shoreside",73411.64448
"22","2002","US","shoreside",45707.66036
"23","2003","US","shoreside",55334.9997
"24","2004","US","shoreside",96503.40741
"25","2005","US","shoreside",109052.2377
"26","2006","US","research",0.049895161
"27","2006","US","shoreside",127164.99932
"28","2007","Canada","freezer-trawler",14121.5284423436
"29","2007","Canada","JV",6820.3904130664
"30","2007","Canada","shoreside",52623.7232274332
"31","2007","US","research",0.004535924
"32","2007","US","shoreside",91441.21416
"33","2008","Canada","freezer-trawler",13214.357703708
"34","2008","Canada","JV",3592.28171085
"35","2008","Canada","shoreside",57798.7199100868
"36","2008","US","catcher-processor",108195.14488
"37","2008","US","mothership",72439.75282
"38","2008","US","shoreside",67860.9232
"39","2008","US","unidentified",180634.89772
"40","2009","Canada","freezer-trawler",13223.1932300676
"41","2009","Canada","JV",0
"42","2009","Canada","shoreside",44136.0228599632
"43","2009","US","catcher-processor",34551.92087
"44","2009","US","mothership",37549.81829
"45","2009","US","shoreside",49222.32983
"46","2009","US","unidentified",72350.20053
"47","2010","Canada","freezer-trawler",13572.711575442
"48","2010","Canada","JV",8081.4503134428
"49","2010","Canada","shoreside",35362.0802869188
"50","2010","US","catcher-processor",54284.43867
"51","2010","US","mothership",52022.30018
"52","2010","US","shoreside",64736.30978
"53","2010","US","unidentified",106313.71941
"54","2011","Canada","freezer-trawler",14595.8182635556
"55","2011","Canada","JV",9716.611452904
"56","2011","Canada","shoreside",31760.34707123
"57","2011","US","catcher-processor",71678.21579
"58","2011","US","mothership",56394.48868
"59","2011","US","research",1042.31625819
"60","2011","US","shoreside",102146.11667
"61","2011","US","unidentified",128072.70446
"62","2012","Canada","freezer-trawler",14912.1545105004
"63","2012","Canada","JV",0
"64","2012","Canada","shoreside",32147.0758691384
"65","2012","US","catcher-processor",55263.84185
"66","2012","US","mothership",38512.35631
"67","2012","US","research",448.474941258
"68","2012","US","shoreside",65919.47195
"69","2012","US","unidentified",93776.1981557
"70","2013","Canada","freezer-trawler",18583.7178225768
"71","2013","Canada","JV",0
"72","2013","Canada","shoreside",33665.364844408
"73","2013","US","catcher-processor",77949.5153
"74","2013","US","mothership",52470.43192
"75","2013","US","research",1017.966966156
"76","2013","US","shoreside",102140.55427
"77","2013","US","unidentified",130419.947208
"78","2014","Canada","freezer-trawler",21792.0399171204
"79","2014","Canada","JV",0
"80","2014","Canada","shoreside",13326.1800237104
"81","2014","US","catcher-processor",103203.2669
"82","2014","US","mothership",62101.51461
"83","2014","US","research",196.715299964
"84","2014","US","shoreside",98639.77399
"85","2014","US","unidentified",165304.78153
"86","2015","Canada","freezer-trawler",22908.9776362828
"87","2015","Canada","JV",0
"88","2015","Canada","shoreside",16774.9936335872
"89","2015","US","catcher-processor",68484.34239
"90","2015","US","mothership",27665.02152
"91","2015","US","shoreside",58010.55469
"92","2015","US","unidentified",96149.36391
"93","2016","Canada","freezer-trawler",34731.0547870336
"94","2016","Canada","JV",0
"95","2016","Canada","shoreside",35011.7967311656
"96","2016","US","catcher-processor",108785.80921
"97","2016","US","mothership",65035.86718
"98","2016","US","research",745.015035725
"99","2016","US","shoreside",87760.41622
"100","2016","US","unidentified",173821.676404
"101","2017","Canada","freezer-trawler",37686.07818483
"102","2017","Canada","JV",5607.515633342
"103","2017","Canada","shoreside",43427.149564428
"104","2017","US","catcher-processor",136960.01682
"105","2017","US","mothership",66427.8826
"106","2017","US","shoreside",150841.18067
"107","2017","US","unidentified",203387.8994
"108","2018","Canada","freezer-trawler",41941.985988538
"109","2018","Canada","JV",2723.713499824
"110","2018","Canada","shoreside",50747.1574911376
"111","2018","US","catcher-processor",116072.9859
"112","2018","US","mothership",67121.1703
"113","2018","US","research",0.000453592
"114","2018","US","shoreside",135111.64108
"115","2018","US","unidentified",183194.1562
"116","2019","Canada","freezer-trawler",43950.13252978
"117","2019","Canada","shoreside",50621.2034999132
"118","2019","US","catcher-processor",116146.17543
"119","2019","US","mothership",52645.80261
"120","2019","US","shoreside",148210.37268
"121","2019","US","unidentified",168791.97805
"122","2020","Canada","freezer-trawler",39811.7781860484
"123","2020","Canada","shoreside",51550.6079772196
"124","2020","US","catcher-processor",111146.716
"125","2020","US","mothership",37977.54088
"126","2020","US","shoreside",138783.54649
"127","2020","US","unidentified",149124.25688
