Yr	Seas	Time	Beg/Mid	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1980	1	1980	B	1.29E+07	775126	69753.5	2.40E+06	69629.2	395037	72870	736883	55125	69043.7	435361	35918.8	80769.7	82600	26062.5	20650.5	9393.6	5034.38	3086.67	1989.07	9867.96
1980	1	1980	M	1.16E+07	698144	62617.6	2.14E+06	61915.5	350165	63953.9	646722	48380.2	60595.9	382092	31523.9	70887.1	72493.4	22873.6	18123.8	8244.24	4418.4	2709	1745.7	8660.57
1981	1	1981	B	194850	1.05E+07	628808	56211.7	1.91E+06	55056.3	310390	56128.9	567592	42460.6	53181.6	335341	27666.8	62213.7	63623.5	20074.9	15906.3	7235.52	3877.79	2377.54	9133
1981	1	1981	M	175549	9.43E+06	563211	49922.4	1.69E+06	48310.4	268000	48463.4	490077	36661.8	45918.7	289544	23888.4	53717.3	54934.5	17333.3	13734	6247.37	3348.2	2052.84	7885.72
1982	1	1982	B	206056	158160	8.49E+06	504457	44336.8	1.49E+06	42391	231400	41844.8	423147	31654.9	39647.6	250001	20626	46381.1	47432.1	14966.1	11858.3	5394.17	2890.94	8581.26
1982	1	1982	M	185645	142441	7.61E+06	449422	39286.6	1.31E+06	36943.4	201663	36467.4	368770	27587	34552.6	217874	17975.4	40420.8	41336.7	13042.8	10334.5	4700.98	2519.43	7478.5
1983	1	1983	B	381432	167256	128285	6.83E+06	400391	34811.6	1.16E+06	32195.9	175748	31781	321380	24041.9	30112.3	189876	15665.4	35226.4	36024.6	11366.7	9006.4	4096.86	8713.12
1983	1	1983	M	343649	150643	115138	6.10E+06	355772	30829.2	1.02E+06	28214.9	154017	27851.4	281641	21069.1	26388.9	166398	13728.4	30870.7	31570.2	9961.25	7892.77	3590.29	7635.75
1984	1	1984	B	1.05E+07	309609	135679	103338	5.44E+06	316125	27302.3	890257	24726.2	134973	24407.6	246817	18463.9	23126	145823	12030.9	27053.6	27666.6	8729.56	6916.83	9837.96
1984	1	1984	M	9.46E+06	278847	121729	92153.2	4.83E+06	279494	23862.2	778083	21610.6	117966	21332.2	215718	16137.5	20212.1	127449	10515	23644.8	24180.6	7629.62	6045.3	8598.36
1985	1	1985	B	102842	8.53E+06	251142	109214	82179	4.28E+06	247107	20855.5	680044	18887.7	103102	18644.3	188537	14104.1	17665.3	111390	9190.08	20665.5	21133.8	6668.28	12798.5
1985	1	1985	M	92655.4	7.68E+06	225538	97623.6	73179.3	3.80E+06	217492	18356	598542	16624	90745.5	16409.8	165941	12413.8	15548.2	98040.4	8088.67	18188.8	18601	5869.1	11264.7
1986	1	1986	B	146753	83477.5	6.92E+06	202545	87263.6	65165.2	3.38E+06	191426	16156.1	526808	14631.7	79869.9	14443.2	146054	10926	13684.8	86290.5	7119.26	16008.9	16371.7	15080.3
1986	1	1986	M	132216	75178.2	6.20E+06	180243	77193.9	57391.6	2.93E+06	166266	14032.7	457569	12708.6	69372.4	12544.9	126857	9489.99	11886.1	74949.1	6183.56	13904.8	14219.9	13098.3
1987	1	1987	B	4.99E+06	119120	67704.1	5.56E+06	160397	68286.2	50545.3	2.55E+06	144413	12188.3	397429	11038.3	60254.6	10896	110184	8242.69	10323.9	65098.4	5370.84	12077.3	23727.7
