"year","type","CEATTLE no diet"
1980,"SSB",2413372.77496003
1981,"SSB",2212174.39742462
1982,"SSB",1787974.89644796
1983,"SSB",3697481.18288754
1984,"SSB",3908504.14758462
1985,"SSB",3564381.38053782
1986,"SSB",3062190.76673314
1987,"SSB",4133871.36124078
1988,"SSB",4045276.27791221
1989,"SSB",3101231.0741528
1990,"SSB",3334037.81095087
1991,"SSB",3151557.30981937
1992,"SSB",2551447.87847669
1993,"SSB",2008901.35633268
1994,"SSB",1983431.72046432
1995,"SSB",1685597.86141649
1996,"SSB",1611832.10026627
1997,"SSB",1688113.79897041
1998,"SSB",1471831.1187676
1999,"SSB",1227720.59913529
2000,"SSB",1267854.06024664
2001,"SSB",1361242.18448976
2002,"SSB",3205273.74153556
2003,"SSB",2998592.59930105
2004,"SSB",2394627.26501213
2005,"SSB",1816972.5576546
2006,"SSB",1469750.65582107
2007,"SSB",1095266.93295448
2008,"SSB",1072068.35534181
2009,"SSB",969117.953185114
2010,"SSB",817232.802104984
2011,"SSB",1056897.8571035
2012,"SSB",1061680.20154299
2013,"SSB",2618505.09287068
2014,"SSB",2724746.84624318
2015,"SSB",2050975.89703971
2016,"SSB",1549647.3113989
2017,"SSB",2277982.17965297
2018,"SSB",1956938.30301912
2019,"SSB",1813637.39794808
2020,"SSB",1634895.16091666
2021,"SSB",1501742.31484244
2022,"SSB",1758253.47515582
1980,"Total Biomass",2852704.695658
1981,"Total Biomass",3829912.21303227
1982,"Total Biomass",4396632.34699573
1983,"Total Biomass",4337282.13681161
1984,"Total Biomass",4266928.95272598
1985,"Total Biomass",5559496.77798006
1986,"Total Biomass",5390644.51273165
1987,"Total Biomass",4837832.37699232
1988,"Total Biomass",4881479.50696969
1989,"Total Biomass",4386955.87557109
1990,"Total Biomass",4080884.41535461
1991,"Total Biomass",3899143.81141235
1992,"Total Biomass",3348539.97054141
1993,"Total Biomass",2531365.14213893
1994,"Total Biomass",2559983.73652275
1995,"Total Biomass",2530547.92435799
1996,"Total Biomass",2432373.06889127
1997,"Total Biomass",2358901.7287231
1998,"Total Biomass",1913930.78890067
1999,"Total Biomass",1730614.52446295
2000,"Total Biomass",3406321.34923018
2001,"Total Biomass",3543721.52705076
2002,"Total Biomass",3974657.41925541
2003,"Total Biomass",3396826.89952716
2004,"Total Biomass",2811969.60536469
2005,"Total Biomass",2266348.94845615
2006,"Total Biomass",1985903.23050271
2007,"Total Biomass",1558769.78031937
2008,"Total Biomass",1549011.8761594
2009,"Total Biomass",1357071.72113083
2010,"Total Biomass",1622246.0902577
2011,"Total Biomass",2294263.31246694
2012,"Total Biomass",2858308.18582733
2013,"Total Biomass",3298217.13803357
2014,"Total Biomass",3228275.91922385
2015,"Total Biomass",2779780.25177495
2016,"Total Biomass",2839529.92635591
2017,"Total Biomass",3055323.52506355
2018,"Total Biomass",3107049.62174837
2019,"Total Biomass",2438408.96670366
2020,"Total Biomass",1988813.01360376
2021,"Total Biomass",2228156.42532982
2022,"Total Biomass",2549838.65123682
