"age","year","number"
"1","1980",791055.061408401
"2","1980",445922.33946758
"3","1980",1963721.20358867
"4","1980",207425.76826198
"5","1980",234149.32531597
"6","1980",189525.717796269
"7","1980",412133.560139925
"8","1980",131462.254031884
"9","1980",162819.405096296
"10","1980",258308.45109232
"11","1980",120840.768110172
"12","1980",37787.7717121512
"13","1980",44878.0170349733
"14","1980",22492.6871110323
"15","1980",13819.4450227566
"16","1980",5349.26807527102
"17","1980",4949.76743798613
"18","1980",4561.91949472062
"19","1980",4186.56636499695
"20","1980",6914.24231362557
"1","1981",11772940.6913782
"2","1981",628408.650204171
"3","1981",359120.099548347
"4","1981",1551534.89024276
"5","1981",165034.451015189
"6","1981",183906.088578789
"7","1981",143370.554944727
"8","1981",311766.750790642
"9","1981",99447.275725906
"10","1981",123168.025616024
"11","1981",195402.641977213
"12","1981",91412.4382978246
"13","1981",28585.3226859665
"14","1981",33948.8818822967
"15","1981",17015.0471967783
"16","1981",10453.9981432523
"17","1981",4046.56181449806
"18","1981",3744.35149320606
"19","1981",3450.95608752333
"20","1981",8397.43080303311
"1","1982",409944.313035581
"2","1982",9312897.6536334
"3","1982",498113.13746124
"4","1982",284225.440664871
"5","1982",1193922.33184183
"6","1982",124646.47586095
"7","1982",133859.14877004
"8","1982",104354.676845663
"9","1982",226924.688563302
"10","1982",72384.3771516362
"11","1982",89649.9250898051
"12","1982",142227.109089326
"13","1982",66536.0851949082
"14","1982",20806.3093050945
"15","1982",24710.2663407034
"16","1982",12384.6891184738
"17","1982",7609.11889058975
"18","1982",2945.3582756288
"19","1982",2725.38939547758
"20","1982",8624.04826139571
"1","1983",250534.419868886
"2","1983",325579.427259145
"3","1983",7460055.97932938
"4","1983",395433.63400598
"5","1983",226049.424135351
"6","1983",914672.822526243
"7","1983",92350.380825362
"8","1983",99176.035908648
"9","1983",77316.2183771276
"10","1983",168128.150136196
"11","1983",53629.4728718797
"12","1983",66421.4905862607
"13","1983",105375.844743032
"14","1983",49296.4824230825
"15","1983",15415.3623247179
"16","1983",18307.7980432097
