"Predator_ID","month","year","latitude","longitude","predator_age","prey_name","prey_wt","prey_length","prey_age","source"
"3056",4,1988,36.84,-121.99,5,"other",2,45,NA,"CCTD"
"3057",4,1988,36.84,-121.99,6,"other",2,52,NA,"CCTD"
"3057",4,1988,36.84,-121.99,6,"other",2,50,NA,"CCTD"
"3067",4,1988,36.74,-121.98,1,"other",3,54,NA,"CCTD"
"3068",4,1988,36.74,-121.98,1,"other",2.8,54,NA,"CCTD"
"3068",4,1988,36.74,-121.98,1,"other",2.8,59,NA,"CCTD"
"3073",4,1988,36.74,-121.98,2,"other",4.8,56,NA,"CCTD"
"3073",4,1988,36.74,-121.98,2,"other",4.8,55,NA,"CCTD"
"3075",4,1988,36.74,-121.98,2,"other",1.2,52,NA,"CCTD"
"3076",4,1988,36.74,-121.98,3,"other",5,70,NA,"CCTD"
"3181",4,1988,36.99,-122.37,1,"other",1.6,52,NA,"CCTD"
"3181",4,1988,36.99,-122.37,1,"other",2.2,41,NA,"CCTD"
"3185",4,1988,36.99,-122.37,6,"other",2.375,51,NA,"CCTD"
"3187",4,1988,36.99,-122.37,6,"other",2,49,NA,"CCTD"
"3187",4,1988,36.99,-122.37,6,"other",2,41,NA,"CCTD"
"3188",4,1988,36.99,-122.37,7,"other",1,41,NA,"CCTD"
"3200",4,1988,36.98,-122.43,1,"other",1,46,NA,"CCTD"
"3205",4,1988,36.98,-122.43,6,"other",3,44,NA,"CCTD"
"3246",4,1988,37.28,-122.81,2,"other",2,38,NA,"CCTD"
"3292",4,1988,37.75,-123.15,4,"other",2.4,34,NA,"CCTD"
"3296",4,1988,37.75,-123.15,4,"other",2.7,42,NA,"CCTD"
"3670",7,1988,47.47,-124.78,6,"other",9.8,70,NA,"CCTD"
"3708",7,1988,47.3,-124.7,8,"other",29.7,85,NA,"CCTD"
"3708",7,1988,47.3,-124.7,8,"other",29.7,70,NA,"CCTD"
"3708",7,1988,47.3,-124.7,8,"other",29.7,85,NA,"CCTD"
"3708",7,1988,47.3,-124.7,8,"other",29.7,70,NA,"CCTD"
"3708",7,1988,47.3,-124.7,8,"other",29.7,75,NA,"CCTD"
"3708",7,1988,47.3,-124.7,8,"other",29.7,70,NA,"CCTD"
"3708",7,1988,47.3,-124.7,8,"other",29.7,80,NA,"CCTD"
"3754",8,1988,41.73,-124.48,4,"other",0.1,3,NA,"CCTD"
"3865",8,1988,47.1,-124.43,6,"other",0.16,36,NA,"CCTD"
"3867",8,1988,47.1,-124.43,10,"other",150,150,NA,"CCTD"
"3867",8,1988,47.1,-124.43,10,"other",150,165,NA,"CCTD"
"3867",8,1988,47.1,-124.43,10,"other",150,150,NA,"CCTD"
"3867",8,1988,47.1,-124.43,10,"other",150,170,NA,"CCTD"
"3867",8,1988,47.1,-124.43,10,"other",150,160,NA,"CCTD"
"3903",8,1988,47.05,-124.62,6,"other",38.25,177,NA,"CCTD"
"4372",9,1988,45.12,-124.37,8,"other",4.5,100,NA,"CCTD"
"4423",9,1988,44.9,-124.47,5,"other",17.25,130,NA,"CCTD"
"4424",9,1988,44.9,-124.47,5,"other",60,180,NA,"CCTD"
"4433",9,1988,44.9,-124.47,8,"other",25,150,NA,"CCTD"
"4434",9,1988,44.9,-124.47,10,"other",150,130,NA,"CCTD"
"4463",9,1988,44.78,-124.6,13,"other",346.5,200,NA,"CCTD"
"4463",9,1988,44.78,-124.6,13,"other",346.5,200,NA,"CCTD"
"4463",9,1988,44.78,-124.6,13,"other",346.5,200,NA,"CCTD"
"4650",10,1988,44.8,-124.55,7,"other",0.6,20,NA,"CCTD"
"4650",10,1988,44.8,-124.55,7,"other",0.6,35,NA,"CCTD"
"4689",10,1988,44.02,-124.97,4,"other",1.75,35,NA,"CCTD"
"4719",10,1988,44,-124.98,14,"Pacific Hake",624,450,5,"CCTD"
"4720",10,1988,44.03,-124.95,4,"other",0.85,25,NA,"CCTD"
"4725",10,1988,44.03,-124.95,5,"other",3.25,80,NA,"CCTD"
"4728",10,1988,43.87,-124.88,4,"other",14,160,NA,"CCTD"
"4732",10,1988,43.87,-124.88,5,"other",5.25,50,NA,"CCTD"
"4734",10,1988,43.87,-124.88,6,"other",23.8,117,NA,"CCTD"
"4737",10,1988,44,-125.08,4,"other",11.4,110,NA,"CCTD"
"4739",10,1988,44,-125.08,5,"other",4.5,100,NA,"CCTD"
"4758",10,1988,43.7,-125.1,6,"other",2,45,NA,"CCTD"
"4768",10,1988,43.6,-125.12,6,"other",0.1,15,NA,"CCTD"
"4847",5,1989,43.5,-124.67,5,"other",1,5,NA,"CCTD"
"4982",5,1989,41.58,-124.53,6,"other",8,50,NA,"CCTD"
"4982",5,1989,41.58,-124.53,6,"other",72,160,NA,"CCTD"
"5027",5,1989,45.43,-124.4,8,"other",33,143,NA,"CCTD"
"5302",5,1989,41.5,-124.52,10,"Pacific Hake",15,210,1,"CCTD"
"5389",6,1989,41.02,-124.42,7,"other",1.9,50,NA,"CCTD"
"5461",6,1989,46.88,-124.52,5,"other",4,60,NA,"CCTD"
"5461",6,1989,46.88,-124.52,5,"other",4,76,NA,"CCTD"
"5505",6,1989,41.63,-124.27,7,"other",50,100,NA,"CCTD"
"5505",6,1989,41.63,-124.27,7,"other",50,100,NA,"CCTD"
"5505",6,1989,41.63,-124.27,7,"other",50,80,NA,"CCTD"
"5506",6,1989,41.63,-124.27,10,"other",20,60,NA,"CCTD"
"5506",6,1989,41.63,-124.27,10,"other",20,70,NA,"CCTD"
"5506",6,1989,41.63,-124.27,10,"other",20,70,NA,"CCTD"
"5571",6,1989,42.18,-124.45,6,"other",45,100,NA,"CCTD"
"5571",6,1989,42.18,-124.45,6,"other",45,150,NA,"CCTD"
"5571",6,1989,42.18,-124.45,6,"other",45,120,NA,"CCTD"
"5571",6,1989,42.18,-124.45,6,"other",45,80,NA,"CCTD"
"5579",6,1989,42.25,-124.4,6,"other",26.6,140,NA,"CCTD"
"5710",6,1989,40.98,-124.25,5,"other",2.5,45,NA,"CCTD"
"5728",6,1989,46.43,-124.4,6,"other",0.1,40,NA,"CCTD"
"6649",7,1989,36.9,-122.09,8,"other",1.518,52.5,NA,"CCTD"
"6655",7,1989,36.9,-122.18,7,"other",91.95,150.5,NA,"CCTD"
"6655",7,1989,36.9,-122.18,7,"other",91.95,159.8,NA,"CCTD"
"6660",7,1989,36.98,-122.34,8,"other",66.07,184.6,NA,"CCTD"
"6679",7,1989,37.23,-122.52,6,"other",29.5,137.6,NA,"CCTD"
"6681",7,1989,37.23,-122.52,6,"other",32.66,141.3,NA,"CCTD"
"6682",7,1989,37.23,-122.52,6,"other",18.68,91.8,NA,"CCTD"
"6686",7,1989,37.23,-122.6,5,"other",84.33,125.8,NA,"CCTD"
"6686",7,1989,37.23,-122.6,5,"other",84.33,127.8,NA,"CCTD"
"6686",7,1989,37.23,-122.6,5,"other",84.33,128.3,NA,"CCTD"
"6687",7,1989,37.23,-122.6,5,"other",73.27,126.1,NA,"CCTD"
"6687",7,1989,37.23,-122.6,5,"other",73.27,128.9,NA,"CCTD"
"6688",7,1989,37.23,-122.6,5,"other",55.09,150.4,NA,"CCTD"
"6688",7,1989,37.23,-122.6,5,"other",55.09,130.4,NA,"CCTD"
"6690",7,1989,37.23,-122.6,6,"other",74.03,140.7,NA,"CCTD"
