cruise_number,operation_number,operation_uuid,cruise_investigator,tow_timestamp,tow_latitude,tow_longitude,avg_bottom_depth_m,avg_surface_temp_c,avg_gear_depth_m,pred_sci_name,pred_com_name,predator_length_cm,predator_weight_kg,predator_visual_maturity,predator_age,stomach_uuid,prey_category_long,prey_category_short_low,prey_category_short_high,collection_type,content_wt_g,content_vol_ml,volume_method
200509,3,7b924dd8-5c7f-4a8c-a3d3-5f62456887d1,NWFSC - FEAT,2005-06-22,36.7386,-121.9859,654,12.62,186,Merluccius productus,Pacific hake,28,0.12,Developing,2,bc8a1f27-5368-4c57-b1bb-0ba8ae8d3261,Euphausiids,EUPH,EUPH,formalin sample,2.05,2.3,2
200509,3,7b924dd8-5c7f-4a8c-a3d3-5f62456887d1,NWFSC - FEAT,2005-06-22,36.7386,-121.9859,654,12.62,186,Merluccius productus,Pacific hake,28,0.14,Immature,2,25bf6372-057f-4c6d-b002-70bb2f9b5ede,Euphausiids,EUPH,EUPH,formalin sample,0.3,0.3,2
200509,3,7b924dd8-5c7f-4a8c-a3d3-5f62456887d1,NWFSC - FEAT,2005-06-22,36.7386,-121.9859,654,12.62,186,Merluccius productus,Pacific hake,28,0.14,Immature,2,f1feffbd-832e-4663-a32a-25fc69f14797,Euphausiids,EUPH,EUPH,formalin sample,0.36,0.4,2
200509,3,7b924dd8-5c7f-4a8c-a3d3-5f62456887d1,NWFSC - FEAT,2005-06-22,36.7386,-121.9859,654,12.62,186,Merluccius productus,Pacific hake,29,0.16,Developing,2,6d943554-cd74-4b0f-b345-31477105d745,Euphausiids,EUPH,EUPH,formalin sample,0.82,0.8,2
200509,3,7b924dd8-5c7f-4a8c-a3d3-5f62456887d1,NWFSC - FEAT,2005-06-22,36.7386,-121.9859,654,12.62,186,Merluccius productus,Pacific hake,30,0.16,Developing,2,7fb32ebc-91a8-4503-987b-af9f5757bf56,Euphausiids,EUPH,EUPH,formalin sample,0.25,0.3,2
200509,3,7b924dd8-5c7f-4a8c-a3d3-5f62456887d1,NWFSC - FEAT,2005-06-22,36.7386,-121.9859,654,12.62,186,Merluccius productus,Pacific hake,30,0.18,Immature,2,c4adca74-e4fd-4309-85dc-23ce766f2fb2,Euphausiids,EUPH,EUPH,formalin sample,0.9,0.9,2
200509,3,7b924dd8-5c7f-4a8c-a3d3-5f62456887d1,NWFSC - FEAT,2005-06-22,36.7386,-121.9859,654,12.62,186,Merluccius productus,Pacific hake,31,0.18,Immature,2,0fe1b254-57ad-44cd-abfb-420b3653943c,Euphausiids,EUPH,EUPH,formalin sample,1.47,1.4,2
200509,3,7b924dd8-5c7f-4a8c-a3d3-5f62456887d1,NWFSC - FEAT,2005-06-22,36.7386,-121.9859,654,12.62,186,Merluccius productus,Pacific hake,31,0.18,Immature,2,0fe1b254-57ad-44cd-abfb-420b3653943c,Myctophidae,FISH,MYCT,formalin sample,1.07,1,2
200509,3,7b924dd8-5c7f-4a8c-a3d3-5f62456887d1,NWFSC - FEAT,2005-06-22,36.7386,-121.9859,654,12.62,186,Merluccius productus,Pacific hake,31,0.18,Immature,2,34c6f5d3-54d6-4d91-b493-b6453809afdd,Euphausiids,EUPH,EUPH,formalin sample,0.15,0.2,2
200509,3,7b924dd8-5c7f-4a8c-a3d3-5f62456887d1,NWFSC - FEAT,2005-06-22,36.7386,-121.9859,654,12.62,186,Merluccius productus,Pacific hake,31,0.2,Developing,2,1e09a93a-49f5-4e66-9fc2-7ecdbf2830a4,Euphausiids,EUPH,EUPH,formalin sample,0.95,0.9,2
200509,3,7b924dd8-5c7f-4a8c-a3d3-5f62456887d1,NWFSC - FEAT,2005-06-22,36.7386,-121.9859,654,12.62,186,Merluccius productus,Pacific hake,31,0.2,Developing,2,59c4a490-1159-49a5-91cb-66a06880d433,Euphausiids,EUPH,EUPH,formalin sample,0.76,0.8,2
200509,3,7b924dd8-5c7f-4a8c-a3d3-5f62456887d1,NWFSC - FEAT,2005-06-22,36.7386,-121.9859,654,12.62,186,Merluccius productus,Pacific hake,32,0.2,Developing,2,f9b8a714-fe74-4900-858b-ee01fae905c5,Euphausiids,EUPH,EUPH,formalin sample,3.46,3,2
200509,4,afa014f8-acd4-4624-bcb8-258828e23d2d,NWFSC - FEAT,2005-06-23,37.0714,-122.6627,204,14.14,155,Merluccius productus,Pacific hake,31,0.2,Immature,2,6f4ef4ac-8276-4d9a-a1c2-d67dab337f27,Euphausiids,EUPH,EUPH,formalin sample,0.58,0.6,2
200509,4,afa014f8-acd4-4624-bcb8-258828e23d2d,NWFSC - FEAT,2005-06-23,37.0714,-122.6627,204,14.14,155,Merluccius productus,Pacific hake,31,0.2,Immature,2,d8782f78-ea1a-475d-8fd4-ee0b814e0b02,Empty stomachs,EMP,EMP,formalin sample,,,
200509,4,afa014f8-acd4-4624-bcb8-258828e23d2d,NWFSC - FEAT,2005-06-23,37.0714,-122.6627,204,14.14,155,Merluccius productus,Pacific hake,33,0.2,Immature,2,4cc85d3c-cef0-4fc0-b524-a63813149a52,Euphausiids,EUPH,EUPH,formalin sample,0.08,0.1,4
200509,4,afa014f8-acd4-4624-bcb8-258828e23d2d,NWFSC - FEAT,2005-06-23,37.0714,-122.6627,204,14.14,155,Merluccius productus,Pacific hake,33,0.22,Immature,2,12152a02-3c8b-4e31-acf4-06b112472e87,Euphausiids,EUPH,EUPH,formalin sample,0.72,0.6,2
200509,4,afa014f8-acd4-4624-bcb8-258828e23d2d,NWFSC - FEAT,2005-06-23,37.0714,-122.6627,204,14.14,155,Merluccius productus,Pacific hake,33,0.22,Immature,2,66f683a6-610c-4e1b-8c57-77c56374ae1a,Euphausiids,EUPH,EUPH,formalin sample,1.32,1.4,2
200509,4,afa014f8-acd4-4624-bcb8-258828e23d2d,NWFSC - FEAT,2005-06-23,37.0714,-122.6627,204,14.14,155,Merluccius productus,Pacific hake,34,0.28,Immature,2,72741248-1878-49c5-a1e7-349b9be4b615,Euphausiids,EUPH,EUPH,formalin sample,0.06,0.1,2
200509,4,afa014f8-acd4-4624-bcb8-258828e23d2d,NWFSC - FEAT,2005-06-23,37.0714,-122.6627,204,14.14,155,Merluccius productus,Pacific hake,35,0.26,Immature,2,38837cd0-df42-48a7-92df-6d9ea971b458,Empty stomachs,EMP,EMP,formalin sample,,,
200509,4,afa014f8-acd4-4624-bcb8-258828e23d2d,NWFSC - FEAT,2005-06-23,37.0714,-122.6627,204,14.14,155,Merluccius productus,Pacific hake,35,0.26,Immature,2,acea5bfc-1c8f-45f7-9903-4296f35df001,Euphausiids,EUPH,EUPH,formalin sample,0.06,0.01,2
200509,6,d35567a3-80f4-4388-87dd-b950b0b77731,NWFSC - FEAT,2005-06-24,37.4051,-122.8974,359,13.76,177,Merluccius productus,Pacific hake,32,0.18,Immature,2,cd65a5ee-6df3-44c8-a083-aae4bc36f1e6,Euphausiids,EUPH,EUPH,formalin sample,2.21,2.2,2
200509,6,d35567a3-80f4-4388-87dd-b950b0b77731,NWFSC - FEAT,2005-06-24,37.4051,-122.8974,359,13.76,177,Merluccius productus,Pacific hake,32,0.2,Immature,2,9632cbd5-7cc7-4610-a5ce-53d07d854c02,Euphausiids,EUPH,EUPH,formalin sample,2.52,2.5,2
200509,6,d35567a3-80f4-4388-87dd-b950b0b77731,NWFSC - FEAT,2005-06-24,37.4051,-122.8974,359,13.76,177,Merluccius productus,Pacific hake,32,0.2,Immature,2,c72b93a9-9251-4c09-9036-3a590ac7e999,Euphausiids,EUPH,EUPH,formalin sample,2.5,2.6,2
200509,6,d35567a3-80f4-4388-87dd-b950b0b77731,NWFSC - FEAT,2005-06-24,37.4051,-122.8974,359,13.76,177,Merluccius productus,Pacific hake,32,0.22,Immature,2,7fa0bc75-bde9-4996-8c87-8855e69d9f7b,Euphausiids,EUPH,EUPH,formalin sample,2.5,2.7,2
