year,cruise_number,ship_code,cruise_investigator,operation_number,td_timestamp,td_latitude,td_longitude,fork_length-cm,sex,organism_weight-kg,age,visual_maturity,species_code,scientific_name,common_name,content_weight-g,content_count,content_uuid,stomach_uuid,content_length-cm
2007,200710,21,NWFSC - FEAT,19,6/30/07 00:41,40.4333,-124.6047,32,Male,0.205,2,Immature,22500,Merluccius productus,Pacific hake,29.55,1,1124d5f2-bf4e-4e9c-845e-25b409d42fef,31676a57-3abe-4848-a4bc-71ade37feb80,17.5
2015,201507,160,NWFSC - FEAT,22,7/16/15 17:55,40.79283,-124.48383,26,Female,0.13,1,Immature,22500,Merluccius productus,Pacific hake,0.01,,14d822eb-ae8c-4021-95fb-3fbe34c38f25,d7c788a8-1f2d-498e-a33b-1a82a536b5e2,
2015,201507,160,NWFSC - FEAT,7,6/28/15 19:12,35.94989,-121.5661867,42,Female,0.458,4,Developing,22500,Merluccius productus,Pacific hake,38.6,1,1d652d9a-5700-4852-a7cb-5030bfd4f83a,66c6c285-42eb-4d55-8637-16d25206350d,
2007,200710,21,NWFSC - FEAT,90,8/15/07 20:17,54.6207,-131.8254,57,Female,1.23,8,Developing,22500,Merluccius productus,Pacific hake,51.22,1,4053ce85-4afb-46ea-995e-e1d00891e054,5783be56-e56d-413f-8914-b44bd67eebf9,16.5
2011,201103,160,NWFSC - FEAT,39,8/5/11 22:57,46.873,-124.5566,38,Female,0.354,3,Inactive,22500,Merluccius productus,Pacific hake,4.3,1,426ef5d5-7d2c-4d3f-9834-4682ba84859c,cc126d35-91b1-444f-8f1c-e331f598772d,9.1
2019,201906,160,NWFSC - FEAT,11,6/23/19 01:58,35.9025053,-121.5823847,46,Female,0.615,6,Developing,22500,Merluccius productus,Pacific hake,15.05,1,53051c1e-20c5-4b84-866b-2cd874c19db0,60ec1329-80cb-455c-880e-ec7a85525372,
2015,201507,160,NWFSC - FEAT,53,8/11/15 21:22,46.11392,-124.6944517,50,Female,0.65,10,Spawning,22500,Merluccius productus,Pacific hake,27.52,1,76b317e3-0ad6-4c5f-a75d-d3cf461e8d59,9813dba6-2426-4995-986d-aa070f35d576,18
2005,200509,21,NWFSC - FEAT,20,7/8/05 20:44,43.2326,-124.7417,80,Female,3.86,14,Inactive,22500,Merluccius productus,Pacific hake,42.23,1,7788bb49-300f-4669-b001-9caa8b6e422c,20ac51b7-2a5b-46c0-918d-6b21b2906702,20.5
2007,200710,21,NWFSC - FEAT,79,8/8/07 16:36,51.103,-128.2469,49,Female,0.77,8,Developing,22500,Merluccius productus,Pacific hake,70.67,2,8633a365-c5c0-4b51-a5cb-da2abbae0674,53d9a96b-2f40-4eaa-84f0-eb9b34ae67fa,23
2007,200710,21,NWFSC - FEAT,80,8/9/07 16:36,51.103,-128.2469,49,Female,0.77,8,Developing,22501,Merluccius productus,Pacific hake,70.67,2,8633a365-c5c0-4b51-a5cb-da2abbae0675,,14
2015,201507,160,NWFSC - FEAT,69,8/24/15 22:37,48.45124667,-126.1545867,44,Male,0.645,7,Developing,22500,Merluccius productus,Pacific hake,9.97,1,928e80ec-f95d-4290-ad9f-7649e12fc455,53433502-5e44-4165-8cc9-0fa425df65fc,12.5
2015,201507,160,NWFSC - FEAT,49,8/9/15 16:53,45.36869,-124.4874233,49,Female,0.77,6,Developing,22500,Merluccius productus,Pacific hake,38.72,1,9e9fef42-77b8-47ce-bcd4-781b7cb85690,71d9155c-3010-4a8e-9295-2bf253a75bec,16.5
2007,200710,21,NWFSC - FEAT,47,7/19/07 00:23,46.2787,-124.4105,64,Female,2.01,10,Spent,22500,Merluccius productus,Pacific hake,51.85,,c94a7200-7f35-46a4-94c3-f65962ca60f6,032f15b2-a0d3-45fe-a33d-f971ff598487,
2015,201507,160,NWFSC - FEAT,33,7/21/15 21:46,42.45788833,-124.8143133,56,Female,0.92,9,Developing,22500,Merluccius productus,Pacific hake,325,1,d3be493f-c2ea-4ed8-8ebd-c5a0bbb8c6ae,66c6c285-42eb-4d55-8637-16d25206350d,
2007,200710,21,NWFSC - FEAT,88,8/14/07 22:41,53.7641,-130.7303,54,Female,1.14,8,Spent,22500,Merluccius productus,Pacific hake,148.81,2,d60d8113-da02-486d-aadf-91dfb02f782b,43b46c3f-4686-42c5-b6a1-07ec5fdde27a,19
2007,200710,21,NWFSC - FEAT,89,8/15/07 22:41,53.7641,-130.7303,54,Female,1.14,8,Spent,22501,Merluccius productus,Pacific hake,148.81,2,d60d8113-da02-486d-aadf-91dfb02f782b,,19.5
2007,200710,21,NWFSC - FEAT,34,7/9/07 14:04,44.2636,-124.9216,46,Female,0.59,8,Developing,22500,Merluccius productus,Pacific hake,58.69,1,dbd29915-8167-4ad3-9d21-20d18bd482b8,779509f1-72cd-4b2b-9cc1-16b3b47f7419,22
2007,200710,21,NWFSC - FEAT,65,7/25/07 16:44,48.103,-124.937,70,Female,2.355,12,Inactive,22500,Merluccius productus,Pacific hake,6.11,1,ecdaedf3-41ec-4ea7-81cc-88280e645db8,00d89f70-fe1d-4652-a5bf-c510b799f16a,9.2
2005,200509,21,NWFSC - FEAT,20,7/8/05 20:44,43.2326,-124.7417,80,Female,3.86,14,Inactive,22500,Merluccius productus,Pacific hake,69.67,2,ef147472-b3c9-49ad-81a1-e5bfd46a3003,9b906124-d0a9-40d2-8121-076d7aedf64d,19
2005,200509,21,NWFSC - FEAT,21,7/9/05 20:44,43.2326,-124.7417,80,Female,3.86,14,Inactive,22501,Merluccius productus,Pacific hake,69.67,2,ef147472-b3c9-49ad-81a1-e5bfd46a3004,,13
