oc_specimens_uuid,prey_species,content_weight,count,content_uuid,length
015af8a0-515b-408d-9729-e88e54506292,Pacific hake,38.6,1,1d652d9a-5700-4852-a7cb-5030bfd4f83a,
015af8a0-515b-408d-9729-e88e54506292,Pacific hake,325,1,d3be493f-c2ea-4ed8-8ebd-c5a0bbb8c6ae,
44c4795c-9a71-46e8-b6cf-e7e359ec7087,Pacific hake,0.01,,14d822eb-ae8c-4021-95fb-3fbe34c38f25,
6b11eb25-206c-4844-a4f8-7a97a62fde1f,Pacific hake,70.67,2,8633a365-c5c0-4b51-a5cb-da2abbae0674,23
6b11eb25-206c-4844-a4f8-7a97a62fde1f,Pacific hake,70.67,2,8633a365-c5c0-4b51-a5cb-da2abbae0674,14
a92f709a-e951-4b9d-837f-d00ec499a400,Pacific hake,51.85,,c94a7200-7f35-46a4-94c3-f65962ca60f6,
378256ae-9999-482f-954e-5dfa6d401d06,Pacific hake,148.81,2,d60d8113-da02-486d-aadf-91dfb02f782b,19.5
378256ae-9999-482f-954e-5dfa6d401d06,Pacific hake,148.81,2,d60d8113-da02-486d-aadf-91dfb02f782b,19
41889f4b-6a50-43c6-9169-f65a71c93b76,Pacific hake,38.72,1,9e9fef42-77b8-47ce-bcd4-781b7cb85690,16.5
6b4d43b6-13bc-483c-afe4-8afba683e224,Pacific hake,69.67,2,ef147472-b3c9-49ad-81a1-e5bfd46a3003,19
6b4d43b6-13bc-483c-afe4-8afba683e224,Pacific hake,69.67,2,ef147472-b3c9-49ad-81a1-e5bfd46a3003,13
b3127df0-e217-44fb-9625-9fa6f23b9bbc,Pacific hake,9.97,1,928e80ec-f95d-4290-ad9f-7649e12fc455,12.5
edfb211b-a079-4aa6-b01e-db8ae415e883,Pacific hake,15.05,1,53051c1e-20c5-4b84-866b-2cd874c19db0,
ee13726e-a598-4ff5-a0aa-17db4fd3b255,Pacific hake,4.3,1,426ef5d5-7d2c-4d3f-9834-4682ba84859c,9.1
9a986651-64dd-4060-90fd-4347aecced75,Pacific hake,58.69,1,dbd29915-8167-4ad3-9d21-20d18bd482b8,22
a3bef3f3-cfd4-47d4-be07-6c3794d5d55b,Pacific hake,51.22,1,4053ce85-4afb-46ea-995e-e1d00891e054,16.5
dd598a4b-a01d-4cdf-acd4-72514d071efc,Pacific hake,29.55,1,1124d5f2-bf4e-4e9c-845e-25b409d42fef,17.5
c1544c8b-ad46-4afd-ab3b-7f29b22b089d,Pacific hake,42.23,1,7788bb49-300f-4669-b001-9caa8b6e422c,20.5
2bbb2b99-6ffd-46a5-9e35-f237bb108377,Pacific hake,6.11,1,ecdaedf3-41ec-4ea7-81cc-88280e645db8,9.2
4c5d9e69-d23e-42c3-ac00-ea6bcc6616be,Pacific hake,27.52,1,76b317e3-0ad6-4c5f-a75d-d3cf461e8d59,18
