year,cruise_number,operation_number,disposition,num_stomachs_tow,type
2005,200509,10,Collected,13,total
2005,200509,11,Collected,12,total
2005,200509,12,Collected,9,total
2005,200509,13,Collected,10,total
2005,200509,14,Collected,8,total
2005,200509,15,Collected,2,total
2005,200509,16,Collected,10,total
2005,200509,17,Collected,15,total
2005,200509,19,Collected,8,total
2005,200509,20,Collected,5,total
2005,200509,22,Collected,9,total
2005,200509,23,Collected,7,total
2005,200509,24,Collected,2,total
2005,200509,25,Collected,1,total
2005,200509,26,Collected,5,total
2005,200509,28,Collected,2,total
2005,200509,29,Collected,1,total
2005,200509,3,Collected,11,total
2005,200509,30,Collected,10,total
2005,200509,31,Collected,7,total
2005,200509,32,Collected,5,total
2005,200509,37,Collected,1,total
2005,200509,39,Collected,11,total
2005,200509,4,Collected,8,total
2005,200509,41,Collected,1,total
2005,200509,44,Collected,8,total
2005,200509,46,Collected,2,total
2005,200509,49,Collected,2,total
2005,200509,50,Collected,7,total
2005,200509,51,Collected,6,total
2005,200509,52,Collected,2,total
2005,200509,54,Collected,8,total
2005,200509,58,Collected,3,total
2005,200509,59,Collected,5,total
2005,200509,6,Collected,13,total
2005,200509,60,Collected,7,total
2005,200509,61,Collected,4,total
2005,200509,62,Collected,1,total
2005,200509,64,Collected,1,total
2005,200509,65,Collected,2,total
2005,200509,7,Collected,2,total
2005,200509,8,Collected,2,total
2005,200509,9,Collected,11,total
2007,200710,1,Collected,12,total
2007,200710,10,Collected,11,total
2007,200710,11,Collected,10,total
2007,200710,12,Collected,15,total
2007,200710,16,Collected,11,total
2007,200710,17,Collected,10,total
2007,200710,18,Collected,11,total
2007,200710,19,Collected,10,total
2007,200710,2,Collected,16,total
2007,200710,21,Collected,5,total
2007,200710,22,Collected,10,total
2007,200710,23,Collected,11,total
2007,200710,24,Collected,10,total
2007,200710,25,Collected,11,total
2007,200710,26,Collected,5,total
2007,200710,27,Collected,9,total
2007,200710,29,Collected,12,total
2007,200710,3,Collected,2,total
2007,200710,30,Collected,10,total
2007,200710,31,Collected,10,total
2007,200710,32,Collected,10,total
2007,200710,33,Collected,9,total
2007,200710,34,Collected,10,total
2007,200710,35,Collected,10,total
2007,200710,36,Collected,9,total
2007,200710,38,Collected,6,total
2007,200710,39,Collected,2,total
2007,200710,4,Collected,6,total
2007,200710,40,Collected,9,total
2007,200710,43,Collected,9,total
2007,200710,45,Collected,10,total
2007,200710,46,Collected,10,total
2007,200710,47,Collected,10,total
2007,200710,50,Collected,9,total
2007,200710,51,Collected,10,total
2007,200710,52,Collected,1,total
2007,200710,53,Collected,10,total
2007,200710,55,Collected,10,total
2007,200710,59,Collected,7,total
2007,200710,6,Collected,10,total
2007,200710,61,Collected,10,total
2007,200710,65,Collected,10,total
2007,200710,66,Collected,10,total
2007,200710,67,Collected,9,total
2007,200710,69,Collected,1,total
2007,200710,7,Collected,8,total
2007,200710,70,Collected,12,total
2007,200710,71,Collected,8,total
2007,200710,73,Collected,9,total
2007,200710,75,Collected,9,total
2007,200710,76,Collected,9,total
2007,200710,77,Collected,14,total
2007,200710,78,Collected,16,total
2007,200710,79,Collected,12,total
2007,200710,80,Collected,21,total
2007,200710,82,Collected,7,total
2007,200710,83,Collected,6,total
2007,200710,84,Collected,8,total
2007,200710,85,Collected,15,total
2007,200710,86,Collected,12,total
2007,200710,87,Collected,14,total
