"","nation","year","month","total_catch"
"1","Canada","2007","1",3.3085029656
"2","Canada","2007","2",3.4663531208
"3","Canada","2007","3",2.6956996332
"4","Canada","2007","4",519.4095644248
"5","Canada","2007","5",3942.3103476744
"6","Canada","2007","6",2157.2822792532
"7","Canada","2007","7",5457.0104998752
"8","Canada","2007","8",17700.9208715552
"9","Canada","2007","9",24625.7405020964
"10","Canada","2007","10",13927.4621091504
"11","Canada","2007","11",3999.5505334076
"12","Canada","2007","12",1226.4848196864
"13","Canada","2008","1",11.289914836
"14","Canada","2008","2",139.500074658
"15","Canada","2008","3",54.780354148
"16","Canada","2008","4",1077.6003718648
"17","Canada","2008","5",1451.0706639212
"18","Canada","2008","6",3439.7662558664
"19","Canada","2008","7",14158.4372559316
"20","Canada","2008","8",16055.7244538364
"21","Canada","2008","9",13226.5697718932
"22","Canada","2008","10",19797.2226421448
"23","Canada","2008","11",4593.4399699124
"24","Canada","2008","12",599.957595632
"25","Canada","2009","1",175.6051225132
"26","Canada","2009","2",24.435022588
"27","Canada","2009","3",2.7356157644
"28","Canada","2009","4",654.293429228
"29","Canada","2009","5",887.3433076468
"30","Canada","2009","6",2755.2368108468
"31","Canada","2009","7",10521.1677972572
"32","Canada","2009","8",16158.179183594
"33","Canada","2009","9",15818.7478260108
"34","Canada","2009","10",9068.9441014552
"35","Canada","2009","11",1194.712486436
"36","Canada","2009","12",97.8153866904
"37","Canada","2010","1",22.7281543868
"38","Canada","2010","2",78.3385826268
"39","Canada","2010","3",15.7596143456
"40","Canada","2010","4",364.9450228984
"41","Canada","2010","5",4416.7997495424
"42","Canada","2010","6",2240.9020381932
"43","Canada","2010","7",9198.2261001184
"44","Canada","2010","8",16174.0295164196
"45","Canada","2010","9",13666.4899897724
"46","Canada","2010","10",7347.167225252
"47","Canada","2010","11",2780.5454523972
"48","Canada","2010","12",710.3107298508
"49","Canada","2011","1",10.27386786
"50","Canada","2011","2",6.5457919244
"51","Canada","2011","3",9.4388042516
"52","Canada","2011","4",7.039754048
"53","Canada","2011","5",3272.2523145844
"54","Canada","2011","6",2100.3078986664
"55","Canada","2011","7",4949.2314981788
"56","Canada","2011","8",14423.312991504
"57","Canada","2011","9",13799.4025420052
"58","Canada","2011","10",11093.5347279744
"59","Canada","2011","11",6087.1868747876
"60","Canada","2011","12",314.2497219048
"61","Canada","2012","1",3.5915446232
"62","Canada","2012","2",8.2635463432
"63","Canada","2012","3",6.688219938
"64","Canada","2012","4",80.3284924856
"65","Canada","2012","5",1958.8061207472
"66","Canada","2012","6",1634.8862624668
"67","Canada","2012","7",3218.4272260308
"68","Canada","2012","8",12074.0713157556
"69","Canada","2012","9",13472.6404737464
"70","Canada","2012","10",11311.2182566584
"71","Canada","2012","11",2855.7220424036
"72","Canada","2012","12",434.58687844
"73","Canada","2013","1",1.7005179076
"74","Canada","2013","2",2.7700887868
"75","Canada","2013","3",0.1161196544
"76","Canada","2013","4",27.8138323756
"77","Canada","2013","5",3238.9187162932
"78","Canada","2013","6",6131.0601460852
"79","Canada","2013","7",5527.3005389564
"80","Canada","2013","8",13673.2371767224
"81","Canada","2013","9",14462.1255323948
"82","Canada","2013","10",8348.8203536228
"83","Canada","2013","11",742.4663486792
"84","Canada","2013","12",92.7532955064
"85","Canada","2014","1",8.3606151168
"86","Canada","2014","2",6.3893025464
"87","Canada","2014","3",1.594377286
"88","Canada","2014","4",1.4052292552
"89","Canada","2014","5",4955.7958873916
"90","Canada","2014","6",6044.910248738
"91","Canada","2014","7",7816.1459330524
"92","Canada","2014","8",4211.6793695612
"93","Canada","2014","9",6308.2151938292
"94","Canada","2014","10",5443.6290704828
"95","Canada","2014","11",317.4684135752
"96","Canada","2014","12",2.626299996
"97","Canada","2015","1",14.5426259364
"98","Canada","2015","2",2.6911637092
"99","Canada","2015","3",5.685780734
"100","Canada","2015","4",125.2060173568
"101","Canada","2015","5",2794.6943601304
"102","Canada","2015","6",5327.290784546
"103","Canada","2015","7",9954.4258658924
"104","Canada","2015","8",8556.7543672612
"105","Canada","2015","9",6597.0873281388
"106","Canada","2015","10",3565.742019526
"107","Canada","2015","11",2143.1102383076
"108","Canada","2015","12",596.7407183312
"109","Canada","2016","1",42.2766260496
"110","Canada","2016","2",9.2573672916
"111","Canada","2016","3",336.0852064484
"112","Canada","2016","4",3636.0229867592
"113","Canada","2016","5",10667.259476672
"114","Canada","2016","6",14530.2278953308
"115","Canada","2016","7",11586.4944123704
"116","Canada","2016","8",7395.2167217764
"117","Canada","2016","9",13153.7768099488
"118","Canada","2016","10",7857.2028491384
"119","Canada","2016","11",519.4862215404
"120","Canada","2016","12",9.5449448732
"121","Canada","2017","1",1.3839104124
"122","Canada","2017","2",4.0723525672
"123","Canada","2017","3",2.0352690988
"124","Canada","2017","4",820.1376968856
"125","Canada","2017","5",10979.2525763868
"126","Canada","2017","6",13193.4502692148
"127","Canada","2017","7",18017.5487784132
"128","Canada","2017","8",15959.5701225148
"129","Canada","2017","9",17122.4676380148
"130","Canada","2017","10",8007.7347445568
"131","Canada","2017","11",2605.8121344768
"132","Canada","2017","12",7.277890058
"133","Canada","2018","1",1.3898071136
"134","Canada","2018","2",2.8716934844
"135","Canada","2018","3",1.0877145752
"136","Canada","2018","4",1900.8977934088
"137","Canada","2018","5",12822.8902259968
"138","Canada","2018","6",17907.6474222248
"139","Canada","2018","7",17652.8201190896
"140","Canada","2018","8",14982.30438953
"141","Canada","2018","9",14736.5099254484
"142","Canada","2018","10",10861.4773097268
"143","Canada","2018","11",4252.5725387908
