Year,Month,H2
1980,6,7.294
1980,6,7.313
1980,6,7.357
1980,6,7.366
1980,6,7.379
1980,6,7.414
1980,6,7.542
1980,6,7.588
1980,7,7.595
1980,7,7.624
1980,7,7.705
1980,7,7.719
1980,7,7.705
1980,7,7.69
1980,7,7.632
1980,7,7.597
1980,8,7.376
1980,8,7.34
1980,8,7.422
1980,8,7.404
1980,8,7.497
1980,8,7.545
1980,8,7.523
1980,9,7.537
1980,9,7.557
1980,9,7.638
1980,9,7.746
1980,9,7.586
1980,9,7.523
1980,9,7.466
1980,9,7.517
1981,6,7.541
1981,6,7.562
1981,6,7.565
1981,6,7.473
1981,6,7.57
1981,6,7.469
1981,6,7.38
1981,7,7.395
1981,7,7.331
1981,7,7.296
1981,7,7.333
1981,7,7.324
1981,7,7.362
1981,7,7.429
1981,7,7.417
1981,8,7.474
1981,8,7.436
1981,8,7.433
1981,8,7.486
1981,8,7.563
1981,8,7.578
1981,8,7.508
1981,8,7.546
1981,9,7.606
1981,9,7.632
1981,9,7.677
1981,9,7.747
1981,9,7.829
1981,9,7.826
1981,9,7.854
1982,6,7.345
1982,6,7.292
1982,6,7.182
1982,6,7.156
1982,6,7.169
1982,6,7.2
1982,6,7.247
1982,7,7.281
1982,7,7.338
1982,7,7.41
1982,7,7.505
1982,7,7.48
1982,7,7.463
1982,7,7.423
1982,7,7.457
1982,8,7.565
1982,8,7.579
1982,8,7.576
1982,8,7.599
1982,8,7.603
1982,8,7.514
1982,8,7.575
1982,8,7.621
1982,9,7.773
1982,9,7.779
1982,9,7.792
1982,9,7.892
1982,9,7.986
1982,9,7.98
1982,9,7.887
1983,6,7.872
1983,6,7.844
1983,6,7.884
1983,6,7.967
1983,6,7.964
1983,6,7.998
1983,6,8.006
1983,6,8.061
1983,7,8.106
1983,7,8.043
1983,7,7.947
1983,7,8.019
1983,7,8.121
1983,7,8.131
1983,7,8.067
1983,8,8.089
1983,8,8.154
1983,8,8.173
1983,8,8.159
1983,8,8.174
1983,8,8.018
1983,8,8.039
1983,8,8.068
1983,9,8.159
1983,9,8.238
1983,9,8.277
1983,9,8.215
1983,9,8.273
1983,9,8.392
1983,9,8.366
1983,9,8.415
